Seniority,References,Authors,Year,Journal,Field,Region,Citations
0,19,2,1955,APJ,p2,OTHER,20
0,2,1,1955,APJ,p2,OTHER,72
0,4,1,1955,APJ,p2,OTHER,13
0,12,1,1955,APJ,p2,OTHER,24
0,17,2,1955,APJ,p4,OTHER,4
0,13,2,1955,APJ,p2,OTHER,20
0,23,2,1955,APJ,p2,OTHER,16
0,13,2,1955,APJ,p2,OTHER,33
0,8,2,1956,APJ,p2,OTHER,3
1,34,2,1956,APJ,p2,OTHER,19
1,10,2,1956,APJ,p5,OTHER,8
0,27,1,1956,APJ,p4,OTHER,33
0,12,1,1956,APJ,p4,OTHER,45
0,6,1,1956,APJ,p2,OTHER,5
1,16,2,1956,APJ,p2,OTHER,10
0,6,1,1956,MNRAS,p2,OTHER,1
3,2,1,1957,APJ,p2,OTHER,1
0,8,1,1957,APJ,p2,OTHER,2
3,3,1,1957,APJ,p5,OTHER,12
2,2,1,1957,APJ,p2,OTHER,6
0,37,2,1957,APJ,p2,OTHER,84
0,7,1,1957,APJ,p2,OTHER,13
1,8,1,1957,MNRAS,p2,OTHER,42
0,5,1,1957,MNRAS,p2,OTHER,4
0,8,2,1958,APJ,p1,OTHER,54
3,11,2,1958,APJ,p4,OTHER,62
3,13,2,1958,APJ,p2,OTHER,106
0,7,2,1958,APJ,p2,OTHER,8
0,1,1,1958,MNRAS,p2,OTHER,15
0,6,2,1959,APJ,p2,OTHER,7
4,11,2,1959,APJ,p4,OTHER,108
0,11,1,1959,APJ,p2,OTHER,33
4,9,2,1959,APJ,p2,OTHER,9
0,10,1,1959,APJ,p1,OTHER,3
4,4,2,1959,APJ,p4,OTHER,37
4,6,2,1959,APJ,p6,OTHER,44
4,5,2,1959,APJ,p6,OTHER,19
4,15,3,1959,APJ,p4,OTHER,121
4,6,3,1959,APJ,p4,OTHER,145
5,8,2,1960,APJ,p3,OTHER,9
5,7,3,1960,APJ,p4,OTHER,48
0,20,2,1960,APJ,p4,OTHER,4
6,7,1,1960,APJ,p2,OTHER,3
5,2,1,1960,APJ,p2,OTHER,1
5,8,3,1960,APJ,p4,OTHER,10
5,14,1,1960,APJ,p2,OTHER,139
0,8,2,1960,APJ,p2,OTHER,9
5,7,2,1960,APJ,p4,OTHER,75
0,8,1,1960,APJ,p4,OTHER,19
3,7,1,1960,APJ,p2,OTHER,40
5,6,3,1960,APJ,p4,OTHER,60
5,5,3,1960,APJ,p4,OTHER,44
5,7,3,1960,APJ,p4,OTHER,29
0,12,4,1960,APJ,p2,OTHER,23
6,6,1,1961,APJ,p2,OTHER,18
2,5,1,1961,APJ,p2,OTHER,3
6,17,3,1961,APJ,p4,OTHER,50
