Seniority,References,Authors,Year,Journal,Field,Region,Citations
9,8,1,1959,MNRAS,p2,OTHER,30
9,4,1,1959,MNRAS,p2,OTHER,38
9,2,3,1959,MNRAS,p2,OTHER,41
7,2,1,1959,NAT,p2,EUROPE,1
6,23,2,1959,APJ,p1,OTHER,9
5,7,1,1959,MNRAS,p2,OTHER,12
5,3,2,1959,NAT,p1,NAMERICA,33
4,6,2,1959,APJ,p2,OTHER,5
4,7,2,1959,APJ,p2,OTHER,5
4,3,3,1959,APJ,p4,OTHER,6
4,4,1,1959,APJ,p2,OTHER,6
4,10,2,1959,APJ,p2,OTHER,6
4,2,1,1959,APJ,p6,OTHER,7
4,8,1,1959,APJ,p2,OTHER,8
4,2,3,1959,APJ,p2,OTHER,10
4,7,2,1959,APJ,p2,OTHER,12
4,11,1,1959,APJ,p2,OTHER,14
4,4,1,1959,APJ,p2,OTHER,15
4,11,2,1959,APJ,p2,OTHER,17
4,14,2,1959,APJ,p2,OTHER,18
4,3,2,1959,APJ,p2,OTHER,20
4,9,1,1959,APJ,p2,OTHER,20
4,4,1,1959,APJ,p3,OTHER,21
4,18,3,1959,APJ,p2,OTHER,21
4,1,1,1959,MNRAS,p2,OTHER,23
4,4,1,1959,APJ,p2,OTHER,24
4,12,1,1959,APJ,p2,OTHER,26
4,23,1,1959,APJ,p2,OTHER,28
4,3,3,1959,APJ,p1,OTHER,29
4,11,1,1959,APJ,p2,OTHER,36
4,6,1,1959,APJ,p2,OTHER,37
4,9,2,1959,APJ,p2,OTHER,46
4,8,3,1959,APJ,p2,OTHER,48
4,2,1,1959,NAT,p1,NAMERICA,49
4,36,1,1959,APJ,p2,OTHER,64
4,35,2,1959,APJ,p4,OTHER,72
4,4,2,1959,APJ,p2,OTHER,73
4,1,1,1959,NAT,p4,NAMERICA,85
4,13,1,1959,APJ,p4,OTHER,89
4,30,2,1959,MNRAS,p2,OTHER,166
4,28,2,1959,APJ,p4,OTHER,181
3,4,1,1959,NAT,p1,NAMERICA,4
3,6,2,1959,APJ,p2,OTHER,5
